Order ID,Customer ID,Customer Name,Product,Category,Size,Location,Region,Total Sale,Quantity,Payment Method,Payment Confirmation,Date,Process Timestamp,Status,Customer Type,Order Source,Discount Applied,Discount Amount,Shipping Cost,Tax,Delivery Time (days),Employee Assigned,Warranty Period (days),Return Requested,Review Score,Feedback,Raw Materials Used,Raw Materials Cost (INR)
ORD1017,1029,Arjun,Clay Brick,Residential,Large,Delhi,North,43965,1666,Card,No,2023-01-16,2023-01-16 11:21:00,In Progress,New,Website,No,0,2312,6314,10,Agent B,236,No,3,Good,"Water, Cement, Sand, Admixture",1330
ORD1018,2674,Karan,Concrete Brick,Commercial,Small,Kolkata,East,37797,1268,Online,No,2023-07-18,2023-07-18 01:07:00,In Progress,New,Phone,Yes,589,2785,2474,2,Agent C,90,Yes,3,Very Poor,"Water, Admixture, Sand",1670
ORD1019,2457,Neha,Clay Brick,Industrial,Large,Chennai,South,42755,617,Online,Yes,2023-03-22,2023-03-22 17:12:00,Completed,Returning,App,Yes,4127,1004,5547,7,Agent A,240,Yes,1,Good,"Gravel, Water, Sand, Cement",1530
ORD1020,2130,Riya,Refractory Brick,Industrial,Medium,Kolkata,East,73430,709,Cash,Yes,2023-03-01,2023-03-01 03:20:00,Pending,Returning,App,No,0,2508,10702,3,Agent C,119,No,5,Poor,"Cement, Sand",2050
ORD1021,3860,Anita,Clay Brick,Residential,Large,Kolkata,East,40256,729,Card,No,2023-04-02,2023-04-02 13:06:00,Pending,New,Website,Yes,2799,2175,2086,1,Agent B,268,Yes,3,Very Poor,"Sand, Fly Ash",440
ORD1022,1788,Karan,Fly Ash Brick,Industrial,Large,Mumbai,West,57141,1915,Card,Yes,2023-08-13,2023-08-13 16:39:00,Completed,New,Walk-in,Yes,2447,684,4346,3,Agent C,125,Yes,1,Poor,"Cement, Fly Ash, Admixture",1250
ORD1023,3602,Neha,Fly Ash Brick,Commercial,Small,Delhi,North,16990,1446,Online,No,2023-12-11,2023-12-11 16:23:00,In Progress,Returning,Website,No,0,2851,1138,8,Agent A,274,No,3,Very Poor,"Sand, Admixture, Cement",2230
ORD1024,1584,Anita,Refractory Brick,Industrial,Medium,Kolkata,East,55157,1430,Cash,Yes,2023-06-22,2023-06-22 13:14:00,Pending,Returning,Website,Yes,4183,2272,2770,3,Agent C,58,Yes,4,Poor,"Cement, Gravel, Water",610
ORD1025,6783,Neha,Clay Brick,Residential,Small,Mumbai,West,19539,1565,Online,Yes,2023-08-26,2023-08-26 13:17:00,In Progress,New,App,Yes,1873,1909,1317,10,Agent A,203,Yes,3,Poor,"Admixture, Fly Ash, Water",2440
ORD1026,7816,Anita,Refractory Brick,Commercial,Large,Chennai,South,39766,1897,Online,No,2023-12-05,2023-12-05 06:08:00,Pending,New,Phone,Yes,4654,1411,4116,8,Agent D,106,Yes,3,Poor,"Water, Fly Ash",210
ORD1027,7471,Karan,Clay Brick,Industrial,Large,Mumbai,West,31542,1247,Online,No,2023-06-07,2023-06-07 17:59:00,Pending,New,App,Yes,2248,2027,2273,5,Agent B,43,No,3,Good,"Gravel, Admixture",2400
ORD1028,2362,Karan,Refractory Brick,Industrial,Small,Mumbai,West,53681,603,Cash,No,2023-08-04,2023-08-04 12:00:00,Completed,Returning,Phone,Yes,3801,2404,6216,4,Agent A,218,Yes,1,Good,"Gravel, Sand, Admixture",1120
ORD1029,5723,Anita,Clay Brick,Commercial,Large,Chennai,South,49535,1702,Cash,No,2023-03-23,2023-03-23 05:31:00,In Progress,Returning,App,Yes,1961,1173,3432,8,Agent D,243,No,3,Excellent,"Cement, Water, Admixture, Gravel",3020
ORD1030,7043,Sanjay,Clay Brick,Residential,Large,Chennai,South,54287,877,Card,Yes,2023-09-27,2023-09-27 11:09:00,In Progress,Returning,Website,Yes,2011,2341,7039,8,Agent A,117,Yes,4,Poor,"Fly Ash, Water, Sand, Cement",2530
ORD1031,1473,Vikram,Refractory Brick,Industrial,Large,Mumbai,West,65912,669,Card,Yes,2023-01-26,2023-01-26 11:04:00,In Progress,Returning,Phone,Yes,4917,1507,8436,9,Agent C,280,Yes,4,Good,"Cement, Sand, Admixture, Fly Ash",2500
ORD1032,6480,Anita,Refractory Brick,Industrial,Medium,Kolkata,East,56486,903,Card,No,2023-03-22,2023-03-22 22:34:00,Pending,Returning,App,Yes,1877,2793,5244,7,Agent A,38,Yes,3,Average,"Water, Fly Ash",1050
ORD1033,4903,Sanjay,Cement Brick,Residential,Medium,Chennai,South,64527,1868,Card,No,2023-11-14,2023-11-14 12:45:00,Pending,Returning,Phone,Yes,4632,2287,5244,10,Agent C,115,Yes,5,Good,"Water, Sand",110
ORD1034,1485,Pooja,Cement Brick,Commercial,Medium,Chennai,South,64906,595,Card,No,2023-02-04,2023-02-04 08:16:00,Completed,New,App,No,0,1384,8623,3,Agent B,175,No,1,Very Poor,"Sand, Cement",1870
ORD1035,4472,Riya,Clay Brick,Commercial,Large,Chennai,South,17065,1208,Cash,No,2023-07-29,2023-07-29 10:45:00,In Progress,Returning,Phone,No,0,2150,1615,5,Agent D,340,No,4,Average,"Admixture, Sand, Cement",2350
ORD1036,8211,Pooja,Cement Brick,Residential,Medium,Mumbai,West,67425,1504,Cash,No,2023-10-09,2023-10-09 11:14:00,Completed,New,Website,No,0,1852,9342,4,Agent A,290,No,2,Good,"Gravel, Cement, Water, Sand",1910
ORD1037,6251,Karan,Concrete Brick,Industrial,Medium,Bangalore,South,72582,1225,Cash,No,2023-03-18,2023-03-18 03:49:00,In Progress,Returning,Walk-in,Yes,913,2626,6565,10,Agent B,242,No,1,Very Poor,"Admixture, Water",2520
ORD1038,1403,Sanjay,Clay Brick,Residential,Small,Bangalore,South,15593,1718,Card,Yes,2023-03-31,2023-03-31 04:35:00,In Progress,New,App,Yes,1440,1362,1909,5,Agent C,357,No,5,Very Poor,"Fly Ash, Admixture, Gravel",1100
ORD1039,1942,Neha,Refractory Brick,Commercial,Medium,Delhi,North,30745,1720,Cash,Yes,2023-01-10,2023-01-10 01:28:00,In Progress,Returning,Website,Yes,595,583,3108,9,Agent A,217,Yes,4,Poor,"Fly Ash, Gravel",280
ORD1040,4333,Neha,Refractory Brick,Industrial,Small,Bangalore,South,25088,1661,Online,No,2023-06-03,2023-06-03 08:06:00,Completed,Returning,Walk-in,Yes,2055,2306,3390,5,Agent A,148,Yes,2,Poor,"Admixture, Gravel, Fly Ash",1560
ORD1041,8926,Vikram,Clay Brick,Commercial,Medium,Kolkata,East,48931,1939,Online,Yes,2023-10-29,2023-10-29 18:43:00,Pending,Returning,Walk-in,Yes,134,1664,5415,4,Agent D,211,Yes,2,Excellent,"Water, Cement",740
ORD1042,7248,Karan,Clay Brick,Residential,Medium,Mumbai,West,66880,863,Online,No,2023-01-21,2023-01-21 23:28:00,Completed,Returning,Website,Yes,2210,1871,7211,7,Agent B,255,No,3,Excellent,"Sand, Gravel, Fly Ash",860
ORD1043,7720,Karan,Cement Brick,Commercial,Small,Delhi,North,65788,1187,Online,Yes,2023-08-11,2023-08-11 00:53:00,Completed,Returning,Website,Yes,277,1866,3981,5,Agent A,205,Yes,3,Very Poor,"Water, Admixture, Fly Ash, Sand",1290
ORD1044,3651,Sanjay,Refractory Brick,Commercial,Large,Bangalore,South,72305,952,Cash,No,2023-06-11,2023-06-11 06:42:00,In Progress,Returning,Website,Yes,348,1329,6414,2,Agent B,82,Yes,3,Average,"Cement, Admixture, Water, Sand",3910
ORD1045,7576,Anita,Cement Brick,Industrial,Large,Kolkata,East,55530,1629,Cash,Yes,2023-05-22,2023-05-22 23:29:00,Completed,Returning,Walk-in,No,0,1789,4121,3,Agent C,166,No,5,Average,"Cement, Water, Fly Ash, Sand",1690
ORD1046,6743,Arjun,Refractory Brick,Commercial,Small,Mumbai,West,70312,579,Online,Yes,2023-03-22,2023-03-22 19:50:00,Pending,New,Walk-in,Yes,3039,2324,7446,10,Agent C,211,No,1,Average,"Cement, Water, Sand",660
ORD1047,3957,Sanjay,Refractory Brick,Commercial,Small,Bangalore,South,50390,1757,Cash,Yes,2023-05-14,2023-05-14 13:47:00,Pending,New,Website,Yes,3537,1963,4181,2,Agent A,228,Yes,5,Poor,"Admixture, Water, Cement",2920
ORD1048,3421,Neha,Cement Brick,Commercial,Small,Mumbai,West,41604,1090,Card,No,2023-08-25,2023-08-25 12:59:00,Completed,Returning,App,Yes,4225,647,5989,2,Agent C,102,No,1,Good,"Fly Ash, Admixture",2300
ORD1049,1785,Pooja,Cement Brick,Commercial,Small,Delhi,North,60408,1372,Cash,No,2023-02-21,2023-02-21 18:39:00,Pending,New,Phone,No,0,1349,5708,3,Agent C,148,Yes,3,Excellent,"Water, Admixture, Sand",590
ORD1050,1912,Neha,Cement Brick,Residential,Large,Delhi,North,78768,1973,Cash,Yes,2023-09-09,2023-09-09 06:34:00,Pending,Returning,Phone,Yes,414,1409,9561,6,Agent A,40,Yes,5,Very Poor,"Sand, Gravel",360
ORD1051,2315,Sanjay,Clay Brick,Industrial,Small,Chennai,South,37471,1064,Online,No,2023-03-28,2023-03-28 19:35:00,In Progress,New,Phone,No,0,1049,5431,3,Agent D,304,No,1,Excellent,"Cement, Gravel, Admixture",2930
ORD1052,3607,Vikram,Clay Brick,Commercial,Large,Mumbai,West,78282,1858,Online,Yes,2023-04-29,2023-04-29 02:50:00,Completed,New,Phone,Yes,2245,1063,8007,8,Agent B,241,No,2,Average,"Water, Sand, Gravel, Admixture",2980
ORD1053,3794,Karan,Cement Brick,Commercial,Small,Bangalore,South,75668,1514,Online,No,2023-09-21,2023-09-21 07:41:00,Completed,Returning,Website,Yes,4021,2361,5496,8,Agent B,137,No,1,Very Poor,"Water, Fly Ash, Cement, Gravel",1300
ORD1054,7082,Neha,Refractory Brick,Residential,Large,Bangalore,South,37176,1756,Cash,Yes,2023-10-31,2023-10-31 16:56:00,In Progress,New,Walk-in,Yes,2738,2330,3433,4,Agent D,357,Yes,5,Good,"Water, Sand, Cement, Gravel",1600
ORD1055,3148,Sanjay,Cement Brick,Industrial,Large,Bangalore,South,74969,1017,Cash,Yes,2023-09-25,2023-09-25 01:17:00,In Progress,Returning,Website,No,0,699,10731,6,Agent A,329,No,4,Average,"Cement, Admixture",1200
ORD1056,6093,Anita,Cement Brick,Residential,Medium,Delhi,North,47818,1812,Card,No,2023-11-01,2023-11-01 00:29:00,Completed,New,Walk-in,No,0,2409,3574,9,Agent C,157,Yes,5,Good,"Gravel, Admixture, Water, Cement",3120
ORD1057,5770,Sanjay,Refractory Brick,Residential,Medium,Bangalore,South,17280,1511,Online,Yes,2023-12-21,2023-12-21 12:10:00,Completed,Returning,Walk-in,No,0,1886,914,5,Agent B,118,No,5,Average,"Water, Admixture, Cement",1880
ORD1058,8455,Pooja,Refractory Brick,Industrial,Small,Kolkata,East,46153,669,Card,Yes,2023-10-09,2023-10-09 17:17:00,Completed,Returning,Phone,Yes,3083,1204,5378,8,Agent C,143,No,5,Excellent,"Admixture, Sand, Cement",3930
ORD1059,9972,Neha,Cement Brick,Commercial,Medium,Bangalore,South,20316,1428,Card,No,2023-09-02,2023-09-02 23:49:00,Completed,New,App,No,0,1467,1641,3,Agent C,196,No,3,Excellent,"Admixture, Cement, Gravel, Fly Ash",3830
ORD1060,5922,Sanjay,Clay Brick,Commercial,Large,Bangalore,South,44103,1731,Online,No,2023-04-24,2023-04-24 15:34:00,Completed,Returning,Website,Yes,4653,1114,4445,5,Agent A,50,No,5,Poor,"Gravel, Sand",400
ORD1061,3080,Pooja,Clay Brick,Commercial,Large,Delhi,North,34848,718,Card,Yes,2023-01-09,2023-01-09 00:48:00,Pending,Returning,Website,Yes,3882,2962,2534,10,Agent D,103,No,2,Excellent,"Fly Ash, Water",240
ORD1062,5947,Pooja,Fly Ash Brick,Industrial,Large,Bangalore,South,34183,942,Card,No,2023-09-11,2023-09-11 14:45:00,Pending,Returning,Website,No,0,2853,2457,10,Agent D,328,No,2,Very Poor,"Admixture, Cement",1550
ORD1063,6826,Neha,Fly Ash Brick,Residential,Large,Delhi,North,58252,874,Card,Yes,2023-11-30,2023-11-30 02:23:00,In Progress,New,Phone,No,0,639,3821,10,Agent D,147,Yes,4,Very Poor,"Cement, Sand, Fly Ash",1340
ORD1064,8862,Karan,Concrete Brick,Residential,Large,Mumbai,West,30011,864,Card,Yes,2023-07-02,2023-07-02 15:28:00,Completed,Returning,Walk-in,No,0,2402,3957,2,Agent C,272,Yes,4,Poor,"Water, Cement, Sand, Admixture",3490
ORD1065,8262,Riya,Clay Brick,Industrial,Medium,Delhi,North,57606,754,Card,No,2023-02-24,2023-02-24 05:34:00,Completed,New,App,Yes,4711,2972,2987,6,Agent A,268,Yes,5,Good,"Cement, Gravel, Admixture",3440
ORD1066,2537,Riya,Concrete Brick,Commercial,Small,Kolkata,East,29084,1058,Card,Yes,2023-10-01,2023-10-01 18:46:00,Completed,New,Phone,Yes,1740,1562,2666,3,Agent A,336,Yes,2,Excellent,"Gravel, Admixture",2320
ORD1067,4371,Pooja,Fly Ash Brick,Commercial,Medium,Delhi,North,30875,1917,Card,No,2023-08-01,2023-08-01 04:32:00,Pending,Returning,Website,Yes,2246,2398,4094,3,Agent A,113,Yes,4,Very Poor,"Cement, Water",1770
ORD1068,9938,Riya,Fly Ash Brick,Residential,Large,Bangalore,South,32874,637,Online,Yes,2023-03-22,2023-03-22 16:09:00,Completed,Returning,App,Yes,1388,2280,2545,4,Agent B,61,Yes,5,Poor,"Cement, Fly Ash",1100
ORD1069,6889,Riya,Concrete Brick,Commercial,Medium,Bangalore,South,41960,961,Online,No,2023-03-03,2023-03-03 09:50:00,In Progress,Returning,Walk-in,Yes,2409,602,2588,10,Agent A,64,No,3,Very Poor,"Cement, Sand",650
ORD1070,8392,Vikram,Clay Brick,Commercial,Small,Mumbai,West,35182,1459,Online,Yes,2023-08-20,2023-08-20 23:33:00,In Progress,Returning,App,Yes,4826,777,2553,8,Agent A,271,No,4,Average,"Fly Ash, Gravel, Cement, Admixture",2930
ORD1071,2549,Sanjay,Clay Brick,Residential,Medium,Bangalore,South,45229,839,Cash,Yes,2023-12-04,2023-12-04 13:01:00,Completed,New,Phone,No,0,2529,2685,8,Agent B,112,No,5,Good,"Admixture, Fly Ash, Gravel",3340
ORD1072,2234,Neha,Cement Brick,Commercial,Large,Delhi,North,17464,1286,Cash,Yes,2024-01-01,2024-01-01 02:53:00,In Progress,Returning,Phone,No,0,1531,2443,10,Agent A,211,Yes,4,Average,"Sand, Cement, Fly Ash",2520
ORD1073,7163,Anita,Fly Ash Brick,Residential,Medium,Delhi,North,38110,602,Cash,Yes,2023-02-20,2023-02-20 09:51:00,Pending,Returning,App,Yes,2083,2246,2708,6,Agent C,43,Yes,5,Poor,"Fly Ash, Cement, Sand",1800
ORD1074,2185,Vikram,Cement Brick,Industrial,Large,Kolkata,East,79960,1639,Online,Yes,2023-03-21,2023-03-21 22:20:00,In Progress,Returning,Phone,No,0,2566,8312,4,Agent C,194,Yes,1,Good,"Fly Ash, Admixture, Water, Gravel",3170
ORD1075,1834,Sanjay,Fly Ash Brick,Residential,Small,Mumbai,West,35363,1786,Card,Yes,2023-05-25,2023-05-25 17:32:00,Completed,Returning,App,Yes,1370,1725,4054,6,Agent D,247,Yes,5,Poor,"Sand, Fly Ash",440
ORD1076,5880,Neha,Clay Brick,Commercial,Small,Kolkata,East,58079,1662,Cash,No,2023-08-29,2023-08-29 07:22:00,Pending,Returning,Phone,Yes,182,2419,2952,1,Agent D,120,Yes,5,Poor,"Cement, Admixture, Water",2920
ORD1077,8356,Anita,Concrete Brick,Commercial,Medium,Kolkata,East,26538,690,Online,No,2023-03-05,2023-03-05 16:54:00,In Progress,New,Walk-in,Yes,867,1711,2406,7,Agent A,301,Yes,4,Very Poor,"Admixture, Sand, Cement",3550
ORD1078,6826,Arjun,Concrete Brick,Commercial,Small,Bangalore,South,19948,510,Cash,Yes,2023-05-28,2023-05-28 01:55:00,In Progress,New,Website,No,0,701,1425,6,Agent D,235,No,4,Poor,"Admixture, Water",1510
ORD1079,8450,Karan,Cement Brick,Industrial,Small,Kolkata,East,60878,906,Online,Yes,2023-09-04,2023-09-04 18:17:00,Completed,Returning,Walk-in,No,0,2727,5319,6,Agent A,348,No,2,Excellent,"Admixture, Sand",800
ORD1080,5160,Arjun,Refractory Brick,Commercial,Medium,Chennai,South,42183,1417,Card,Yes,2023-11-15,2023-11-15 11:33:00,In Progress,New,Walk-in,Yes,2441,1435,5791,10,Agent B,340,No,3,Average,"Gravel, Admixture, Cement, Sand",4650
ORD1081,2291,Karan,Clay Brick,Residential,Large,Chennai,South,76842,1516,Cash,Yes,2023-03-29,2023-03-29 20:49:00,Pending,Returning,App,Yes,1628,1799,3921,6,Agent B,267,No,1,Good,"Water, Admixture",2520
ORD1082,3673,Karan,Fly Ash Brick,Commercial,Small,Chennai,South,15557,1757,Card,No,2023-01-24,2023-01-24 17:23:00,In Progress,Returning,App,Yes,1518,2490,2205,4,Agent D,153,Yes,5,Excellent,"Water, Cement, Admixture, Fly Ash",3590
ORD1083,8381,Pooja,Clay Brick,Residential,Small,Chennai,South,32794,1678,Cash,No,2023-03-30,2023-03-30 00:11:00,Completed,New,Phone,Yes,2870,2908,2566,2,Agent D,355,No,4,Excellent,"Water, Fly Ash",450
ORD1084,2147,Karan,Concrete Brick,Commercial,Small,Chennai,South,54048,980,Cash,No,2023-10-22,2023-10-22 16:35:00,Completed,Returning,App,Yes,471,1921,5449,1,Agent A,75,Yes,3,Excellent,"Admixture, Fly Ash, Water, Sand",3220
ORD1085,1871,Arjun,Cement Brick,Residential,Large,Bangalore,South,31791,1270,Online,No,2023-09-14,2023-09-14 00:58:00,Pending,New,App,No,0,1541,2220,5,Agent C,171,No,3,Poor,"Gravel, Fly Ash",1160
ORD1086,2397,Sanjay,Refractory Brick,Industrial,Medium,Kolkata,East,72205,1673,Cash,No,2023-10-25,2023-10-25 02:08:00,Pending,Returning,Walk-in,Yes,3915,2370,10440,3,Agent D,164,No,4,Very Poor,"Water, Cement",750
ORD1087,9174,Arjun,Clay Brick,Residential,Small,Bangalore,South,16625,1359,Cash,No,2023-11-05,2023-11-05 06:34:00,In Progress,Returning,Phone,No,0,2958,1208,6,Agent B,66,Yes,3,Very Poor,"Water, Sand, Fly Ash, Admixture",1810
ORD1088,4205,Vikram,Fly Ash Brick,Residential,Medium,Bangalore,South,59477,1798,Cash,Yes,2023-07-26,2023-07-26 13:16:00,In Progress,New,Website,Yes,4759,1826,3385,5,Agent C,156,Yes,3,Average,"Gravel, Fly Ash",280
ORD1089,8726,Sanjay,Refractory Brick,Industrial,Large,Kolkata,East,29461,1336,Cash,No,2023-07-31,2023-07-31 17:46:00,Completed,Returning,Phone,Yes,2951,1924,2863,3,Agent D,135,No,4,Excellent,"Sand, Admixture, Fly Ash",1440
ORD1090,3237,Vikram,Clay Brick,Industrial,Small,Mumbai,West,48978,1538,Online,Yes,2023-08-01,2023-08-01 14:20:00,Completed,New,Walk-in,Yes,4925,2389,2772,5,Agent A,183,No,2,Very Poor,"Gravel, Fly Ash, Water, Cement",1960
ORD1091,8293,Riya,Concrete Brick,Commercial,Large,Mumbai,West,25152,1033,Online,No,2023-09-07,2023-09-07 18:59:00,Pending,Returning,Walk-in,No,0,808,2248,4,Agent D,190,No,2,Excellent,"Gravel, Fly Ash",640
ORD1092,7733,Neha,Clay Brick,Residential,Small,Bangalore,South,68528,809,Card,No,2023-09-01,2023-09-01 20:02:00,Pending,New,App,Yes,4813,1612,4452,9,Agent B,113,No,1,Very Poor,"Water, Gravel, Sand",390
ORD1093,8675,Arjun,Cement Brick,Residential,Large,Mumbai,West,49251,1368,Card,No,2023-07-02,2023-07-02 08:20:00,Pending,Returning,App,Yes,1177,2839,6367,9,Agent C,51,No,3,Average,"Cement, Sand, Admixture",1820
ORD1094,7924,Sanjay,Refractory Brick,Residential,Small,Delhi,North,28556,1909,Cash,No,2023-08-25,2023-08-25 14:15:00,In Progress,Returning,Website,Yes,3473,1777,3226,4,Agent A,257,No,5,Excellent,"Cement, Admixture",1700
ORD1095,1847,Vikram,Refractory Brick,Industrial,Large,Chennai,South,26646,784,Cash,No,2023-03-29,2023-03-29 07:03:00,Completed,Returning,Website,Yes,1616,2409,1599,7,Agent C,106,No,3,Very Poor,"Water, Cement, Fly Ash",1380
ORD1096,3319,Arjun,Cement Brick,Residential,Small,Mumbai,West,65224,1891,Cash,Yes,2023-03-01,2023-03-01 08:51:00,Pending,New,Phone,Yes,119,2103,9167,7,Agent B,135,No,3,Very Poor,"Admixture, Gravel, Water",1110
ORD1097,5973,Karan,Fly Ash Brick,Industrial,Large,Kolkata,East,36357,1466,Card,Yes,2023-08-15,2023-08-15 08:18:00,In Progress,Returning,Walk-in,Yes,4783,2956,3982,10,Agent A,129,No,4,Average,"Gravel, Cement, Water",1240
ORD1098,1656,Vikram,Concrete Brick,Industrial,Large,Delhi,North,54787,1047,Online,Yes,2023-11-02,2023-11-02 10:55:00,Completed,Returning,App,Yes,4044,2504,2914,3,Agent D,282,No,4,Excellent,"Cement, Water",730
ORD1099,8281,Arjun,Refractory Brick,Industrial,Large,Delhi,North,15063,821,Card,Yes,2023-06-30,2023-06-30 22:33:00,Pending,Returning,Phone,No,0,2811,2080,5,Agent A,184,Yes,4,Good,"Fly Ash, Gravel",840
ORD1100,9923,Sanjay,Concrete Brick,Residential,Small,Mumbai,West,38882,1101,Online,No,2023-01-06,2023-01-06 04:53:00,Pending,New,Phone,No,0,2517,4585,9,Agent B,145,Yes,4,Very Poor,"Gravel, Sand, Water, Admixture",990
ORD1101,4405,Riya,Refractory Brick,Commercial,Medium,Delhi,North,29786,1978,Cash,Yes,2023-03-11,2023-03-11 01:50:00,Pending,Returning,Walk-in,No,0,2186,3010,4,Agent A,142,Yes,1,Poor,"Water, Gravel, Cement, Sand",1360
ORD1102,7449,Vikram,Cement Brick,Residential,Large,Kolkata,East,54839,1984,Card,No,2023-07-27,2023-07-27 09:27:00,In Progress,New,App,No,0,1343,2837,4,Agent D,272,Yes,1,Excellent,"Fly Ash, Cement",2750
ORD1103,6349,Vikram,Concrete Brick,Commercial,Large,Bangalore,South,53567,1950,Card,No,2023-01-14,2023-01-14 05:57:00,In Progress,New,Walk-in,Yes,3039,767,7776,3,Agent D,190,No,5,Very Poor,"Sand, Water",320
ORD1104,2445,Pooja,Cement Brick,Residential,Large,Bangalore,South,39271,737,Card,No,2023-10-18,2023-10-18 06:13:00,Pending,New,Phone,Yes,4141,1410,4272,5,Agent B,330,Yes,3,Average,"Fly Ash, Gravel, Admixture",2700
ORD1105,6857,Neha,Concrete Brick,Commercial,Large,Delhi,North,25928,1865,Cash,Yes,2023-04-20,2023-04-20 12:26:00,Completed,New,App,No,0,1920,3066,6,Agent B,290,Yes,3,Excellent,"Sand, Water",280
ORD1106,4208,Arjun,Concrete Brick,Commercial,Large,Chennai,South,60664,810,Cash,Yes,2023-09-10,2023-09-10 15:38:00,Pending,New,Phone,Yes,3367,1161,5545,10,Agent D,343,No,3,Poor,"Fly Ash, Cement, Water",1830
